Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,away_shots,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
29/07/00,Dunfermline,Aberdeen,0,0,D,0,0,D,23,10,8,0,6,6,9,10,1,3,0,1
29/07/00,Motherwell,Dundee,0,2,A,0,1,A,8,7,5,4,5,4,14,13,2,2,0,1
29/07/00,Rangers,St Johnstone,2,1,H,0,1,A,12,5,8,2,4,2,8,11,2,0,0,0
29/07/00,St Mirren,Kilmarnock,0,1,A,0,0,D,9,5,4,3,6,6,16,16,1,2,0,0
30/07/00,Dundee United,Celtic,1,2,A,0,1,A,8,15,4,9,6,11,17,13,4,1,0,0
30/07/00,Hearts,Hibernian,0,0,D,0,0,D,10,14,5,8,6,9,18,16,1,4,0,0
05/08/00,Aberdeen,St Mirren,2,1,H,1,1,D,17,10,5,5,5,4,19,11,1,1,0,0
05/08/00,Celtic,Motherwell,1,0,H,1,0,H,14,5,5,3,5,1,12,18,2,3,2,1
05/08/00,Dundee,Dunfermline,3,0,H,1,0,H,11,6,9,2,3,5,7,8,0,2,0,0
05/08/00,Hibernian,Dundee United,3,0,H,2,0,H,17,7,9,3,7,1,13,10,0,4,0,0
05/08/00,Kilmarnock,Rangers,2,4,A,2,1,H,6,8,2,4,1,7,15,17,3,5,1,0
06/08/00,St Johnstone,Hearts,2,2,D,1,0,H,8,12,3,6,4,8,18,18,4,3,0,0
12/08/00,Dundee United,Motherwell,1,1,D,0,1,A,13,8,3,5,4,4,8,13,0,0,0,0
12/08/00,Dunfermline,St Johnstone,1,1,D,1,0,H,7,11,3,6,6,7,17,13,3,4,0,1
12/08/00,Hibernian,Dundee,5,1,H,2,1,H,16,9,11,5,6,4,14,15,1,4,0,2
13/08/00,Aberdeen,Hearts,1,1,D,1,1,D,11,6,5,3,6,7,14,16,1,3,0,0
13/08/00,Celtic,Kilmarnock,2,1,H,0,1,A,12,10,6,4,5,4,20,15,4,2,0,1
13/08/00,St Mirren,Rangers,1,3,A,0,1,A,9,20,4,10,1,5,11,16,3,2,0,0
16/08/00,Kilmarnock,Hibernian,0,1,A,0,1,A,11,6,4,5,5,1,13,10,1,2,0,0
16/08/00,Motherwell,Dunfermline,0,1,A,0,0,D,19,12,7,4,9,3,14,10,2,1,0,0
19/08/00,Aberdeen,Hibernian,0,2,A,0,1,A,8,18,5,11,6,6,14,24,0,3,1,0
19/08/00,Dundee United,St Johnstone,1,2,A,0,2,A,11,11,8,5,5,9,14,15,2,2,0,0
19/08/00,Hearts,Celtic,2,4,A,0,3,A,8,10,3,4,7,8,11,21,1,0,0,0
19/08/00,Kilmarnock,Motherwell,3,2,H,1,1,D,10,6,6,3,6,3,8,8,1,1,0,0
19/08/00,Rangers,Dunfermline,4,1,H,3,1,H,16,8,11,5,11,1,7,4,0,1,0,0
19/08/00,St Mirren,Dundee,2,1,H,0,0,D,11,9,8,2,11,6,5,11,1,3,0,0
26/08/00,Dunfermline,Dundee United,1,0,H,1,0,H,11,6,6,3,5,6,11,13,0,1,0,0
26/08/00,Hibernian,St Mirren,2,0,H,1,0,H,18,7,11,0,7,1,19,19,1,4,0,0
26/08/00,St Johnstone,Kilmarnock,1,1,D,1,1,D,8,10,5,4,1,1,9,8,1,1,0,0
27/08/00,Celtic,Rangers,6,2,H,3,1,H,13,11,8,4,3,2,15,16,3,4,0,1
27/08/00,Dundee,Hearts,1,1,D,0,0,D,8,14,5,9,4,2,16,18,3,4,0,0
27/08/00,Motherwell,Aberdeen,1,1,D,1,1,D,9,15,4,7,8,6,19,11,3,1,0,0
09/09/00,Aberdeen,St Johnstone,1,1,D,0,0,D,13,6,5,4,12,5,16,17,1,4,0,1
09/09/00,Celtic,Hibernian,3,0,H,2,0,H,21,7,9,3,9,1,16,13,1,3,0,0
09/09/00,Dundee,Rangers,1,1,D,0,0,D,7,7,4,3,4,7,8,20,2,2,0,0
09/09/00,Hearts,Dunfermline,2,0,H,1,0,H,17,5,8,1,7,2,9,15,0,1,0,0
09/09/00,Kilmarnock,Dundee United,1,0,H,1,0,H,9,8,4,2,2,5,9,9,0,2,0,0
09/09/00,St Mirren,Motherwell,0,1,A,0,0,D,9,18,5,6,8,6,8,18,0,2,0,0
16/09/00,Dundee United,St Mirren,0,0,D,0,0,D,13,7,4,2,6,4,18,10,2,1,1,0
16/09/00,Hibernian,Motherwell,2,0,H,0,0,D,17,7,9,2,1,0,11,24,3,3,0,0
16/09/00,Kilmarnock,Aberdeen,1,0,H,1,0,H,8,5,5,2,5,10,6,9,2,3,0,0
16/09/00,St Johnstone,Dundee,0,0,D,0,0,D,10,7,4,3,3,5,14,16,0,1,0,0
17/09/00,Rangers,Hearts,1,0,H,0,0,D,17,3,9,2,13,2,7,7,2,1,0,0
18/09/00,Dunfermline,Celtic,1,2,A,0,0,D,2,11,1,3,3,8,19,16,1,5,0,0
20/09/00,Dundee,Dundee United,3,0,H,0,0,D,8,7,5,3,3,2,9,20,1,4,0,1
20/09/00,Hearts,St Mirren,2,0,H,0,0,D,13,11,7,3,8,2,14,11,1,0,0,0
23/09/00,Celtic,Dundee,1,0,H,0,0,D,13,5,6,3,4,1,12,7,1,3,0,0
23/09/00,Dundee United,Aberdeen,3,5,A,0,3,A,10,11,4,9,4,3,10,14,3,2,0,1
23/09/00,Dunfermline,Hibernian,1,1,D,0,1,A,8,10,4,5,4,4,15,18,1,3,0,0
23/09/00,Motherwell,Rangers,0,1,A,0,1,A,9,12,4,5,3,11,15,8,3,2,0,0
23/09/00,St Mirren,St Johnstone,0,1,A,0,1,A,8,14,1,5,0,1,17,13,2,2,0,0
24/09/00,Hearts,Kilmarnock,0,2,A,0,1,A,9,9,3,2,3,9,12,19,2,1,0,0
30/09/00,Dundee,Kilmarnock,0,0,D,0,0,D,5,10,3,4,7,6,10,11,0,0,1,0
30/09/00,St Johnstone,Hibernian,0,3,A,0,2,A,6,12,2,5,6,4,13,11,3,1,1,0
30/09/00,St Mirren,Dunfermline,2,1,H,2,0,H,12,10,5,4,4,3,7,9,1,1,0,1
01/10/00,Aberdeen,Celtic,1,1,D,1,0,H,8,7,4,3,4,3,23,23,3,3,0,1
01/10/00,Hearts,Motherwell,3,0,H,2,0,H,15,4,6,0,5,0,15,13,2,2,0,1
01/10/00,Rangers,Dundee United,3,0,H,2,0,H,23,9,14,5,14,4,7,11,0,3,0,1
14/10/00,Aberdeen,Dundee,0,2,A,0,1,A,16,10,7,4,8,6,7,9,3,3,1,1
14/10/00,Celtic,St Mirren,2,0,H,1,0,H,28,6,13,3,10,0,14,16,1,0,0,0
14/10/00,Dundee United,Hearts,0,4,A,0,3,A,7,10,1,7,4,8,12,15,1,1,0,0
14/10/00,Hibernian,Rangers,1,0,H,1,0,H,12,11,3,5,3,4,27,18,2,4,0,1
14/10/00,Kilmarnock,Dunfermline,2,1,H,1,1,D,14,3,6,2,4,2,8,11,0,5,0,0
14/10/00,Motherwell,St Johnstone,4,0,H,2,0,H,8,6,5,2,6,9,18,6,3,0,1,0
17/10/00,St Johnstone,Celtic,0,2,A,0,1,A,3,12,2,4,1,5,18,12,6,2,1,0
21/10/00,Aberdeen,Dunfermline,0,0,D,0,0,D,16,13,4,5,6,4,5,12,0,1,0,0
21/10/00,Celtic,Dundee United,2,1,H,1,0,H,10,4,3,1,12,2,7,9,0,1,0,0
21/10/00,Dundee,Motherwell,1,2,A,1,2,A,9,14,4,7,6,6,15,26,2,3,0,0
21/10/00,Kilmarnock,St Mirren,2,1,H,0,1,A,16,4,9,1,7,2,9,17,3,4,0,0
22/10/00,Hibernian,Hearts,6,2,H,2,1,H,18,7,10,4,6,2,13,17,0,0,0,0
22/10/00,St Johnstone,Rangers,2,1,H,1,0,H,11,13,6,3,7,5,15,12,3,2,0,0
28/10/00,Dundee United,Hibernian,0,1,A,0,0,D,13,8,5,4,7,5,20,8,3,0,0,0
28/10/00,Dunfermline,Dundee,1,0,H,0,0,D,8,5,4,2,3,3,16,10,2,1,0,0
28/10/00,Hearts,St Johnstone,0,3,A,0,0,D,10,8,4,6,3,3,10,16,1,0,0,0
28/10/00,Rangers,Kilmarnock,0,3,A,0,2,A,3,8,1,5,8,2,8,15,0,1,0,0
28/10/00,St Mirren,Aberdeen,2,0,H,1,0,H,8,11,3,5,3,6,6,7,1,0,0,0
29/10/00,Motherwell,Celtic,3,3,D,1,1,D,10,17,3,9,6,6,26,10,3,0,0,0
04/11/00,Hearts,Aberdeen,3,0,H,1,0,H,24,6,12,3,11,8,11,9,0,0,0,0
04/11/00,Motherwell,Dundee United,2,1,H,1,0,H,12,10,3,3,3,6,16,13,2,2,0,1
04/11/00,Rangers,St Mirren,7,1,H,4,1,H,23,6,9,3,4,5,6,8,1,1,0,0
04/11/00,St Johnstone,Dunfermline,0,2,A,0,0,D,10,8,2,3,5,3,14,12,2,1,0,0
05/11/00,Dundee,Hibernian,1,2,A,1,1,D,13,15,7,8,6,8,13,21,3,0,0,0
05/11/00,Kilmarnock,Celtic,0,1,A,0,0,D,4,11,2,6,7,4,12,7,2,2,0,0
11/11/00,Dundee United,Dundee,0,2,A,0,1,A,12,8,4,6,7,8,22,7,4,2,0,0
11/11/00,Dunfermline,Motherwell,1,2,A,1,0,H,9,12,5,6,5,6,7,14,3,2,0,0
11/11/00,Hibernian,Kilmarnock,1,1,D,1,0,H,,,,,,,,,1,1,0,0
11/11/00,St Mirren,Hearts,1,2,A,0,1,A,4,9,3,3,4,12,17,14,0,3,0,0
12/11/00,Aberdeen,Rangers,1,2,A,1,1,D,11,8,7,4,3,5,16,11,2,3,1,0
12/11/00,Celtic,St Johnstone,4,1,H,3,0,H,19,6,9,2,7,3,9,8,0,1,0,0
18/11/00,Celtic,Hearts,6,1,H,4,1,H,23,7,13,4,8,5,7,24,1,4,0,0
18/11/00,Dundee,St Mirren,5,0,H,1,0,H,17,15,12,6,2,6,8,7,1,1,0,0
18/11/00,Dunfermline,Rangers,0,0,D,0,0,D,6,12,3,5,4,8,12,15,0,0,0,0
18/11/00,Hibernian,Aberdeen,0,2,A,0,0,D,12,11,5,8,6,4,15,8,0,0,0,0
18/11/00,Motherwell,Kilmarnock,1,2,A,1,1,D,23,19,11,6,7,5,15,19,3,3,0,0
18/11/00,St Johnstone,Dundee United,1,0,H,0,0,D,12,5,3,1,9,1,14,15,3,2,0,1
25/11/00,Aberdeen,Motherwell,3,3,D,1,2,A,21,9,12,6,10,2,12,19,1,2,0,0
25/11/00,Dundee United,Dunfermline,3,2,H,2,0,H,8,4,5,3,3,3,14,10,2,5,1,2
25/11/00,Hearts,Dundee,3,1,H,0,1,A,14,5,8,2,5,2,16,12,4,1,0,0
25/11/00,Kilmarnock,St Johnstone,0,2,A,0,0,D,11,5,6,2,6,1,6,11,2,2,0,0
25/11/00,St Mirren,Hibernian,1,1,D,0,1,A,8,9,3,4,11,1,8,8,2,2,0,0
26/11/00,Rangers,Celtic,5,1,H,1,0,H,14,5,8,3,6,2,16,14,3,4,0,1
28/11/00,Dundee United,Kilmarnock,0,1,A,0,0,D,7,5,2,2,4,6,13,14,1,3,0,0
28/11/00,St Johnstone,Aberdeen,0,0,D,0,0,D,11,7,6,2,7,3,14,13,3,1,0,0
29/11/00,Dunfermline,Hearts,1,0,H,1,0,H,12,11,8,3,1,5,7,7,2,0,0,0
29/11/00,Hibernian,Celtic,0,0,D,0,0,D,4,5,1,1,4,3,26,17,0,3,0,0
29/11/00,Motherwell,St Mirren,2,0,H,0,0,D,13,8,5,3,9,5,14,7,1,0,0,0
02/12/00,Aberdeen,Kilmarnock,1,2,A,1,2,A,15,9,9,5,6,6,12,18,2,3,0,0
02/12/00,Celtic,Dunfermline,3,1,H,2,1,H,21,5,11,2,9,0,4,9,1,4,0,0
02/12/00,Dundee,St Johnstone,1,1,D,1,0,H,15,12,7,6,10,8,14,18,2,3,0,0
03/12/00,Hearts,Rangers,0,1,A,0,1,A,11,9,5,4,5,6,15,18,1,6,0,2
03/12/00,Motherwell,Hibernian,1,3,A,0,1,A,12,13,7,2,6,7,17,15,2,4,0,0
05/12/00,St Mirren,Dundee United,1,1,D,0,1,A,9,10,7,5,2,6,10,11,1,1,1,0
09/12/00,Hibernian,Dunfermline,3,0,H,1,0,H,20,4,6,0,4,2,16,12,0,1,0,1
09/12/00,Kilmarnock,Hearts,0,3,A,0,1,A,6,6,3,4,4,2,16,12,1,1,0,0
09/12/00,St Johnstone,St Mirren,2,0,H,1,0,H,16,9,5,5,5,4,10,11,1,1,0,0
10/12/00,Dundee,Celtic,1,2,A,0,1,A,12,6,5,3,7,9,5,13,0,2,0,0
10/12/00,Rangers,Motherwell,2,0,H,1,0,H,10,6,5,2,6,5,13,16,2,4,0,0
13/12/00,Rangers,Aberdeen,3,1,H,1,1,D,12,4,7,1,10,5,12,13,1,1,0,0
16/12/00,Celtic,Aberdeen,6,0,H,2,0,H,18,5,8,3,6,1,11,11,0,0,0,0
16/12/00,Dunfermline,St Mirren,2,0,H,1,0,H,17,11,12,2,3,2,7,17,3,2,0,0
16/12/00,Hibernian,St Johnstone,2,0,H,1,0,H,14,5,6,2,5,4,16,18,2,3,0,0
16/12/00,Kilmarnock,Dundee,2,3,A,1,0,H,4,11,2,3,2,5,9,13,1,5,0,0
16/12/00,Motherwell,Hearts,2,0,H,0,0,D,22,19,8,9,7,7,14,10,0,0,0,0
17/12/00,Dundee United,Rangers,1,1,D,1,1,D,4,12,3,4,1,17,15,13,0,0,0,0
23/12/00,Dundee,Aberdeen,2,2,D,0,1,A,12,9,8,6,5,5,15,10,5,1,0,0
23/12/00,Dunfermline,Kilmarnock,1,0,H,1,0,H,10,8,5,3,5,10,17,17,1,0,0,0
23/12/00,Hearts,Dundee United,3,1,H,2,1,H,15,8,9,3,8,3,11,14,1,2,0,1
23/12/00,Rangers,Hibernian,1,0,H,0,0,D,15,5,7,1,6,2,18,19,3,4,1,1
23/12/00,St Johnstone,Motherwell,2,3,A,0,3,A,14,8,5,5,11,2,15,19,2,2,0,1
23/12/00,St Mirren,Celtic,0,2,A,0,1,A,2,15,0,8,5,9,9,9,2,2,0,0
26/12/00,Dundee United,Celtic,0,4,A,0,3,A,11,10,3,8,6,1,12,9,3,0,0,0
26/12/00,Dunfermline,Aberdeen,3,2,H,1,2,A,9,8,5,5,6,9,12,7,0,0,0,0
26/12/00,Hearts,Hibernian,1,1,D,0,1,A,10,10,5,6,6,6,17,13,3,2,0,0
26/12/00,Motherwell,Dundee,0,3,A,0,2,A,19,10,7,5,12,3,11,21,1,5,1,1
26/12/00,Rangers,St Johnstone,3,0,H,1,0,H,16,3,10,2,8,6,10,7,0,1,0,0
26/12/00,St Mirren,Kilmarnock,1,3,A,1,0,H,7,19,3,11,1,6,11,6,1,2,1,0
30/12/00,Hibernian,Dundee United,1,0,H,0,0,D,16,5,7,4,9,3,15,15,2,5,0,1
30/12/00,St Johnstone,Hearts,2,2,D,2,1,H,11,6,6,3,6,3,12,17,1,3,0,0
02/01/01,Aberdeen,Hearts,1,0,H,1,0,H,25,13,8,2,11,6,13,15,1,1,0,0
02/01/01,Celtic,Kilmarnock,6,0,H,1,0,H,13,4,11,2,3,3,10,9,2,2,0,0
02/01/01,Dundee United,Motherwell,2,0,H,0,0,D,16,5,4,2,6,3,13,17,2,2,0,0
02/01/01,Dunfermline,St Johnstone,0,0,D,0,0,D,13,13,5,4,4,1,9,10,2,1,0,0
02/01/01,Hibernian,Dundee,3,0,H,2,0,H,9,10,4,4,3,3,19,11,0,3,0,0
02/01/01,St Mirren,Rangers,1,3,A,1,2,A,5,22,3,12,4,12,12,13,1,0,0,0
30/01/01,Kilmarnock,Hibernian,1,1,D,0,0,D,8,7,3,4,5,6,12,8,1,1,0,0
31/01/01,Dundee,Dundee United,2,3,A,1,1,D,3,13,3,7,6,4,7,13,1,1,0,0
31/01/01,Hearts,St Mirren,1,0,H,0,0,D,17,9,8,3,11,2,10,11,1,1,0,0
31/01/01,Motherwell,Dunfermline,1,1,D,0,0,D,12,8,6,3,9,3,9,17,2,2,0,0
31/01/01,Rangers,Aberdeen,1,0,H,1,0,H,10,7,4,1,4,7,18,21,3,4,1,1
03/02/01,Dundee United,St Johnstone,1,1,D,1,0,H,12,10,8,7,2,7,12,15,2,3,0,0
03/02/01,Kilmarnock,Motherwell,1,2,A,0,1,A,10,5,7,2,5,1,4,16,0,2,0,0
03/02/01,Rangers,Dunfermline,2,0,H,1,0,H,17,3,9,1,5,4,12,19,2,2,0,0
03/02/01,St Mirren,Dundee,2,1,H,1,1,D,14,13,5,3,6,7,16,11,1,5,0,1
04/02/01,Hearts,Celtic,0,3,A,0,1,A,6,12,2,8,5,5,20,18,3,2,0,0
10/02/01,Dunfermline,Dundee United,3,1,H,0,0,D,12,10,8,4,4,4,8,18,1,4,0,0
10/02/01,Hibernian,St Mirren,4,2,H,1,1,D,19,6,8,2,5,2,12,9,0,1,0,0
10/02/01,Motherwell,Aberdeen,0,1,A,0,0,D,16,18,8,12,9,12,23,17,2,2,0,0
11/02/01,Celtic,Rangers,1,0,H,1,0,H,12,7,6,3,11,5,20,22,1,2,0,1
11/02/01,St Johnstone,Kilmarnock,1,2,A,0,0,D,9,9,5,4,6,3,14,13,2,3,0,0
21/02/01,Aberdeen,St Mirren,3,0,H,1,0,H,17,8,9,4,3,4,14,12,0,2,0,0
21/02/01,Celtic,Motherwell,1,0,H,0,0,D,13,2,5,2,7,0,8,22,0,4,0,0
21/02/01,Dundee,Dunfermline,0,1,A,0,1,A,9,5,5,4,7,5,8,14,0,1,0,0
24/02/01,Dundee,Rangers,0,1,A,0,0,D,10,10,4,5,4,6,16,12,1,2,0,0
24/02/01,Hearts,Dunfermline,7,1,H,4,0,H,27,10,16,7,7,5,14,9,0,0,0,0
24/02/01,Kilmarnock,Dundee United,0,0,D,0,0,D,3,3,1,0,3,2,9,16,1,2,0,0
24/02/01,St Mirren,Motherwell,0,1,A,0,0,D,16,13,7,6,5,3,6,16,0,4,0,0
25/02/01,Celtic,Hibernian,1,1,D,1,0,H,14,6,6,3,11,6,9,18,1,3,0,0
03/03/01,Dundee United,St Mirren,4,0,H,2,0,H,15,7,8,4,2,2,15,14,1,2,0,0
03/03/01,Kilmarnock,Aberdeen,0,0,D,0,0,D,17,6,13,3,6,4,6,16,0,2,0,0
03/03/01,Rangers,Hearts,2,0,H,1,0,H,12,8,7,4,5,4,12,18,1,1,0,1
03/03/01,St Johnstone,Dundee,2,3,A,1,0,H,10,11,3,4,3,3,15,11,3,2,1,0
04/03/01,Dunfermline,Celtic,0,3,A,0,2,A,4,13,2,4,1,13,18,6,2,0,0,0
04/03/01,Hibernian,Motherwell,1,1,D,0,0,D,9,14,4,4,2,9,21,20,1,5,0,0
13/03/01,Aberdeen,Hibernian,1,0,H,1,0,H,14,11,8,4,5,4,9,12,0,2,0,0
14/03/01,Hearts,Kilmarnock,3,0,H,0,0,D,10,5,8,2,6,7,13,10,0,1,0,1
14/03/01,Rangers,Dundee,0,2,A,0,1,A,17,8,6,5,8,3,19,14,3,2,1,0
14/03/01,St Johnstone,Celtic,1,2,A,1,1,D,6,12,3,7,5,7,13,13,1,0,0,0
17/03/01,Dundee United,Aberdeen,1,1,D,1,1,D,5,5,4,3,9,4,20,13,0,1,0,0
17/03/01,Dunfermline,Hibernian,2,1,H,1,0,H,11,10,4,3,4,7,16,15,2,1,0,0
17/03/01,Motherwell,Rangers,1,2,A,1,0,H,9,12,5,3,7,6,19,8,1,1,0,0
17/03/01,St Mirren,St Johnstone,1,0,H,1,0,H,10,10,4,7,3,5,10,8,0,2,0,0
18/03/01,Dundee,Hearts,0,0,D,0,0,D,7,7,4,2,7,2,12,16,0,0,0,0
27/03/01,Aberdeen,St Johnstone,3,3,D,2,1,H,9,9,6,5,3,8,13,13,3,2,0,0
31/03/01,Dundee,Kilmarnock,2,2,D,1,1,D,10,7,5,4,4,1,12,12,1,2,0,1
31/03/01,Hearts,Motherwell,3,0,H,1,0,H,15,7,9,2,4,8,14,21,0,3,0,0
31/03/01,Rangers,Dundee United,0,2,A,0,0,D,17,11,8,7,10,7,13,11,1,2,0,0
31/03/01,St Mirren,Dunfermline,1,1,D,0,1,A,12,14,4,7,7,6,14,18,1,1,0,0
01/04/01,Aberdeen,Celtic,0,1,A,0,0,D,5,19,2,7,4,2,17,10,1,1,0,0
01/04/01,St Johnstone,Hibernian,2,0,H,0,0,D,19,14,10,5,3,2,14,14,1,2,0,0
04/04/01,Aberdeen,Dundee United,4,1,H,3,1,H,10,14,5,6,2,9,14,11,1,3,0,0
04/04/01,Celtic,Dundee,2,1,H,1,0,H,13,9,5,6,5,5,9,11,1,3,0,1
07/04/01,Aberdeen,Dundee,0,2,A,0,0,D,2,8,1,4,1,3,12,6,0,1,0,0
07/04/01,Celtic,St Mirren,1,0,H,1,0,H,25,6,8,0,11,2,8,9,0,1,0,0
07/04/01,Dundee United,Hearts,1,1,D,1,0,H,12,3,6,2,5,4,18,10,1,2,0,1
07/04/01,Kilmarnock,Dunfermline,2,1,H,1,0,H,7,5,4,2,4,4,8,10,0,0,0,0
07/04/01,Motherwell,St Johnstone,1,0,H,1,0,H,15,16,6,4,4,4,18,14,0,0,0,0
08/04/01,Hibernian,Rangers,0,0,D,0,0,D,10,10,4,3,2,6,13,24,4,3,0,0
11/04/01,Kilmarnock,Rangers,1,2,A,0,2,A,8,8,3,5,3,7,10,20,1,4,0,0
21/04/01,Aberdeen,Dunfermline,1,0,H,1,0,H,15,6,8,5,6,6,13,13,1,3,0,0
21/04/01,Dundee,Rangers,0,3,A,0,3,A,8,11,5,7,3,3,7,12,0,0,0,0
21/04/01,Hibernian,Kilmarnock,1,1,D,1,1,D,11,8,3,2,6,6,13,11,0,4,0,0
21/04/01,Motherwell,St Johnstone,0,1,A,0,0,D,11,14,2,3,2,5,17,17,0,1,0,0
22/04/01,Celtic,Hearts,1,0,H,0,0,D,22,6,9,3,12,1,6,11,0,1,0,0
23/04/01,St Mirren,Dundee United,2,1,H,0,0,D,13,11,8,5,7,5,14,17,1,1,0,0
27/04/01,Kilmarnock,Hearts,1,1,D,0,0,D,15,2,7,1,5,3,16,12,1,2,0,0
28/04/01,Dundee United,Motherwell,1,0,H,1,0,H,10,2,5,0,6,3,11,18,1,3,0,1
28/04/01,Dunfermline,St Mirren,1,2,A,0,2,A,18,11,6,6,5,6,13,9,2,3,0,0
28/04/01,St Johnstone,Aberdeen,0,3,A,0,2,A,4,7,0,3,2,3,16,15,1,2,0,0
29/04/01,Dundee,Hibernian,0,2,A,0,0,D,10,8,2,5,5,2,12,17,1,1,0,0
29/04/01,Rangers,Celtic,0,3,A,0,0,D,13,7,4,6,3,3,18,19,3,1,0,0
05/05/01,Dundee,Kilmarnock,2,1,H,1,0,H,11,7,5,1,8,0,7,11,1,3,0,0
05/05/01,Hearts,Rangers,1,4,A,0,1,A,12,24,5,12,6,5,11,18,1,1,1,1
05/05/01,Motherwell,Aberdeen,0,2,A,0,1,A,21,15,10,8,7,4,18,17,0,1,0,0
05/05/01,St Johnstone,St Mirren,2,2,D,1,2,A,19,9,7,6,7,2,18,9,4,2,0,1
06/05/01,Dundee United,Dunfermline,1,0,H,1,0,H,11,6,7,2,6,2,14,16,1,0,0,0
06/05/01,Hibernian,Celtic,2,5,A,0,2,A,16,11,8,10,0,8,9,16,2,1,0,1
12/05/01,Dunfermline,Motherwell,1,2,A,1,2,A,10,10,1,5,5,2,10,13,0,0,1,0
12/05/01,Rangers,Kilmarnock,5,1,H,1,0,H,16,7,11,4,5,6,5,5,0,1,0,0
12/05/01,St Johnstone,Dundee United,2,3,A,2,0,H,4,8,3,5,4,4,15,13,3,2,1,0
12/05/01,St Mirren,Aberdeen,2,1,H,2,1,H,16,5,11,1,3,2,10,14,0,0,0,1
13/05/01,Celtic,Dundee,0,2,A,0,2,A,15,5,5,3,15,2,13,13,1,3,0,1
13/05/01,Hibernian,Hearts,0,0,D,0,0,D,16,5,3,1,7,4,14,22,3,2,0,1
20/05/01,Aberdeen,Dundee United,1,2,A,0,2,A,11,12,5,6,6,4,4,17,1,3,0,0
20/05/01,Dunfermline,St Johnstone,0,0,D,0,0,D,9,5,3,0,2,5,10,17,3,1,0,0
20/05/01,Hearts,Dundee,2,0,H,0,0,D,11,8,7,3,7,5,14,7,0,1,0,0
20/05/01,Kilmarnock,Celtic,1,0,H,0,0,D,5,11,3,3,3,4,11,16,1,1,0,0
20/05/01,Motherwell,St Mirren,3,3,D,1,1,D,19,12,8,7,7,2,13,3,1,0,0,1
20/05/01,Rangers,Hibernian,4,0,H,2,0,H,20,6,12,1,9,2,12,11,1,0,0,0
